name,brand,type,composition,skintype,image
5X Ceramide Soothing Toner Skintific,Skintific,Toner,"Aqua, Butylene Glycol, Pentylene Glycol, Glycerin, Methyl Gluceth-20, Bifida Ferment Lysate, Hydrolyzed Sodium Hyaluronate, Centella Asiatica Extract, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Ceramide NS, Ceramide NG, Ceramide AP, Ceramide AS, Ceramide NP, Ceramide EOP, Laminaria Digitata Extract, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Tremella Fuciformis Sporocarp Extract, Calendula Officinalis Extract, Inulin, Alpha-Glucan Oligosaccharide, Ectoin, Collagen, Cholesterol, 1,2-Hexanediol, Sorbitol, Cetyl-PG Hydroxyethyl Palmitamide, Hydrogenated Lecithin, Hydroxyacetophenone","Oily, Dry, Normal, Combination, Sensitive",
Dear Klairs Supple Preparation Unscented Toner,"Dear, Klairs",Toner,"Water, Butylene Glycol, Dimethyl Sulfone, Betaine, Caprylic/​Capric Triglyceride, Natto Gum, Sodium Hyaluronate, Disodium Edta, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Polyquaternium-51, Chlorphenesin, Tocopheryl Acetate, Carbomer, Panthenol, Arginine, Luffa Cylindrica Fruit/​Leaf/​Stem Extract, Beta-Glucan, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Hydroxyethylcellulose, Portulaca Oleracea Extract, Lysine Hcl, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Copper Tripeptide-1","Oily, Dry, Normal, Combination, Sensitive",
Somethinc SUPPLE POWER Hyaluronic9+ Onsen Essence Toner,Somethinc,Toner,"Onsen-Sui, Water, Niacinamide, Butylene Glycol, 1,2-Hexanediol, Dipropylene Glycol, Chondrus Crispus(Carrageenan) Extract, Caprylyl Glycol, Saccharum Officinarum (Sugarcane) Extract, Betaine, Sodium Citrate, Propanediol, Polyglyceryl-10 Laurate, Sodium Hyaluronate, Citric Acid, Adenosine, Allantoin, Hyaluronic Acid, Plumeria Alba (Frangipani) Flower Oil, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Sodium Acetylated Hyaluronate, Caffeine, PEG-9 Diglycidyl Ether/​Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate, Tocopherol, Dimethylsilanol Hyaluronate, Sodium Benzoate","Oily, Dry, Normal, Combination, Sensitive",
Avoskin Miraculous Refining Toner,Avoskin,Toner,"Water, Glycerin, Glycolic Acid, Butylene Glycol, Propylene Glycol, Gluconolactone, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Niacinamide, Chamomilla Recutita (Matricaria) Flower Extract, Rubus Idaeus (Raspberry Fruit) Extract, Citrus Limon (Lemon) Fruit Extract, Salicylic Acid, Acer Saccharum (Sugar Maple) Extract, Portulaca Oleracea Extract, Aloe Barbadensis Leaf Juice, Amylopectin, Dextrin, Xanthan Gum, Tetrasodium EDTA, Sodium Hydroxymethylglycinate, Polyglutamic Acid","Oily, Normal, Combination, Sensitive",
NACIFIC Real Floral Rose Toner,Nacific,Toner,"Rosa Centifolia Flower Water, Butylene Glycol, Sodium Hyaluronate, Rose Extract, Propanediol, Butylene Glycol, Hydroxyacetophenone, 1,2-Hexanediol, Centella Asiatica Extract, Dipropylene Glycol, Melaleuca Alternifolia (Tea Tree) Extract, Rosmarinus Officinalis (Rosemary) Extract, Mentha Piperita (Peppermint) Leaf Extract, Cymbopogon Schoenanthus Extract, Lavandula Angustifolia (Lavender) Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Chrysanthellum Indicum Extract, Allantoin, Rosa Centifolia Flower, Disodium EDTA, Dipotassium Glycyrrhizate, Phenoxyethanol","Dry, Normal, Combination, Sensitive",
ElsheSkin Deep Hydration Calming Moisturizer,ElsheSkin,Moisturizer,"Aqua, Saccharide Isomerate, Schizophyllan, Pentylene Glycol, Butylene Glycol, Propanediol, Isononyl Isononanoate, Niacinamide, Xylitylglucoside, Anhydroxylitol, Xylitol, Laureth-3, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester, Magnesium Aspartate, Zinc Gluconate, Copper Gluconate, Phenoxyethanol, Portulaca Oleracea Extract, Ceramide NP, PEG-7 Glyceryl Cocoate, Asiaticoside","Dry, Normal, Combination, Sensitive",
COSRX Hydrium Moisture Power Enriched Cream,COSRX,Moisturizer,"Water, Glycerin, Ethylhexyl Stearate, Vinyl Dimethicone, Pentylene Glycol, Cocos Nucifera (Coconut) Oil, 1,2-Hexanediol, Cetearyl Alcohol, Panthenol, Polymethylsilsesquioxane, Arachidyl Alcohol, Propolis Extract, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Polyglyceryl-6 Stearate, Butylene Glycol, Carbomer, Behenyl Alcohol, Glyceryl Stearate, Tromethamine, Dimethiconol, Caprylyl Glycol, Arachidyl Glucoside, Hydrogenated Lecithin, Ceramide NP, Ethylhexylglycerin, Xanthan Gum, Sucrose Stearate, Polyglyceryl-6 Behenate, Sodium Polyacrylate Starch, Stearic Acid, Palmitic Acid, Sodium Hyaluronate, Cholesterol, Hyaluronic Acid, Glycosphingolipids, Hydrolyzed Hyaluronic Acid","Oily, Normal, Combination, Sensitive",
Somethinc Calm Down! Skinpair R-Cover Cream,Somethinc,Moisturizer,"Water, Glycerin, Dicaprylyl Ether, Butylene Glycol, Hydrogenated Ethylhexyl Olivate, Pentylene Glycol, 1,2-Hexanediol, Panthenol, Hydrogenated Polydecene, Saccharide Isomerate, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Polymethylsilsesquioxane, Hydrogenated Olive Oil Unsaponifiables, Boron Nitride, Madecassoside, Aloe Barbadensis Leaf Extract, Allantoin, Artemisia Vulgaris Extract, Astrocaryum Murumuru Seed Butter, Glyceryl Acrylate/​Acrylic Acid Copolymer, Tromethamine, Ethylhexylglycerin, Xanthan Gum, Dipotassium Glycyrrhizate, Sodium Phytate, Ceramide NP, Sodium Citrate, Citric Acid, Sea Water, Propanediol, Tocopherol, Emiliania Huxleyi Extract","Oily, Dry, Normal, Combination, Sensitive",
Studio Tropik Rich Skin Barrier Cream,Studio Tropik,Moisturizer,"Aqua, Dicaprylyl Carbonate, Squalane, Diisostearyl Malate, Caprylic/​Capric Triglyceride, Bis-Diglyceryl Polyacyladipate-2, Propylene Glycol, Butylene Glycol, Glycerin, Cetearyl Alcohol, Glycerides, Cetearyl Olivate, Bifida Ferment Lysate, Polyglutamic Acid, Sodium Acetylated Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Saccharide Isomerate, Panthenol, Allantoin, Hydrolyzed Jojoba Esters, Triethoxycaprylylsilane, Dextrin Palmitate, Sorbitan Olivate, BHT, Ceteth-10 Phosphate, Dicetyl Phosphate, Triethanolamine, Tetrasodium EDTA, Chlorphenesin, Phenoxyethanol, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol, Citric Acid, Titanium Dioxide, Sodium Citrate, Caprylic/​Capric/​Myristic/​Stearic Triglyceride, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Lactobacillus/​Collagen/​Mesembryanthemum Crystallinum Leaf Extract Ferment Lysate","Dry, Normal, Combination",
Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel,Wardah,Moisturizer,"Aqua, Caprylic/​Capric Triglyceride, Glycerine, Squalane, Octamethylcyclotetrasiloxane, Butylene Glycol, Benzyl Alcohol, Decamethylcyclopentasiloxane, Dimethicone, Panthenol, Triethanolamine, Acrylates/​Acrylamide Copolymer, Mineral Oil, Ethylhexylglycerin, Allantoin, Carbomer, Fragrance, BHT, Tocopheryl Acetate, Chamomilla Recutita (Matricaria) Flower Extract, Polysorbate 85, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Trideceth-9, Tocopherol, Polysorbate 20, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Ci 42090, Ci 19140","Oily, Normal, Combination, Sensitive",
Skin Aqua UV Whitening Milk SPF 50 PA++++,Skin Aqua,Sunscreen,"Aqua (Water), Ethylhexyl Methoxycinnamate, Butylene Glycol, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Polymethylsilsesquioxane, Cyclopentasiloxane, Tranexamic Acid, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polysorbate 60, Cetearyl Alcohol, Silica, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Decyl Glucoside, Titanium Dioxide, Phenoxyethanol, Triethanolamine, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Hexylglycerin, Disodium EDTA, Propylene Glycol, Xanthan Gum, Sodium Acetylated Hyaluronate (Acha)","Oily, Dry, Normal, Combination, Sensitive",
Avoskin The Great Shield Sunscreen SPF 50 PA++++,Avoskin,Sunscreen,"Water, Ethylhexyl Methoxycinnamate, Methylpropanediol, Cetearyl Alcohol, Zinc Oxide, Butyl Methoxydibenzoylmethane, Cyclopentasiloxane, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, C20-22 Alkyl Phosphate, Lauryl Lactate, Isononyl Isononanoate, Polysilicone-15, Diisopropyl Adipate, Titanium Dioxide, C20-22 Alcohols, Sorbitan Isostearate, Squalane, Dimethicone, Phenoxyethanol, Ceteareth-33, Niacinamide, Diisopropyl Sebacate, Isodecyl Neopentanoate, Aluminum Starch Octenylsuccinate, Sodium Ascorbyl Phosphate, Imidazolidinyl Urea, Hydroxypropyl Cyclodextrin, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Cetearyl Dimethicone Crosspolymer, Polysorbate 60, Stearic Acid, Aluminum Hydroxide, Polydextrose, Disodium EDTA, BHT, Cyclodextrin, Asiaticoside, Triethoxycaprylylsilane","Oily, Dry, Normal, Combination, Sensitive",
Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++,Anessa,Sunscreen,"Water (Aqua), Dimethicone, Zinc Oxide 10.443%, Ethylhexyl Methoxycinnamate 7.49475%, Cyclopentasiloxane, Talc, Methyl Methacrylate Crosspolymer, Alcohol, Diisopropyl Sebacate, Isododecane, Octocrylene 3.0%, PEG/​PPG-9/​2 Dimethyl Ether, Zea Mays (Corn) Starch, Ethylhexyl Salicylate 2.5%, Diethylamino Hydroxybenzoyl Hexyl Benzoate 1.8%, Titanium Dioxide, PEG-9 Polydimethylsiloxyethyl Dimethicone, Glycerin, Isopropyl Myristate, Silica, Polysilicone-15 1.0%, Sucrose Tetrastearate Triacetate, PPG-17, Dextrin Palmitate, Trimethylsiloxysilicate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine 0.5%, Isostearic Acid, Triethoxycaprylylsilane","Oily, Dry, Normal, Combination, Sensitive",
NPURE Sunscreen Cica Beat The Sun SPF 50 PA++++,NPURE,Sunscreen,"Water, Glycerin, Dibutyl Adipate, Butyloctyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butylene Glycol, Ethylhexyl Triazone, Pentylene Glycol, Isoamyl p-Methoxycinnamate, Polysilicone-15, Centella Asiatica Leaf Water, Inulin Lauryl Carbamate, Chrysanthemum Parthenium (Feverfew) Extract, Chamomilla Recutita (Matricaria) Extract, Sodium Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Isohexadecane, Glyceryl Caprylate, Caprylyl Glycol, Polysorbate 80, Camellia Japonica Leaf Extract, Sorbitan Oleate","Dry, Normal, Sensitive",
Carasun Solar Smart UV Protector Sunscreen dengan SPF 45 PA++++,Carasun,Sunscreen,"Aqua, Propylene Glycol, Glycerin, Caprylyl Methicone, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Isononyl Isononanoate, Caprylic/​Capric Triglyceride, Butylene Glycol, Niacinamide, Octocrylene, Polyglyceryl-2 Stearate, PEG-12 Dimethicone/​PPG-20 Crosspolymer, Glyceryl Stearate, Silica, Diisopropyl Sebacate, Propylene Glycol Dicaprylate/​Dicaprate, Stearyl Alcohol, Oryza Sativa Extract, Phenoxyethanol, C12-15 Alkyl Benzoate, Diisopropyl Adipate, Tocopheryl Acetate, Sodium Polyacrylate Starch, Lecithin, Marrubium Vulgare Extract, Ethylhexylglycerin, Tetrasodium EDTA, Chlorphenesin, 1,2-Hexanediol, Sodium Hydroxide","Oily, Dry, Normal, Combination, Sensitive",
